Aye,n.,"An affirmative vote; one who votes in the affirmative; as, ""To call for the ayes and noes;"" ""The ayes have it."""
Azorian,a.,Of or pertaining to the Azores.
B,,"is the second letter of the English alphabet. (See Guide to Pronunciation, // 196, 220.) It is etymologically related to p, v, f, w and m , letters representing sounds having a close organic affinity to its own sound; as in Eng. bursar and purser; Eng.  bear and Lat. ferre; Eng. silver and Ger.  silber; Lat. cubitum and It. gomito; Eng. seven, Anglo-Saxon seofon, Ger. sieben, Lat. septem, Gr.""epta`, Sanskrit saptan. The form of letter B is Roman, from Greek B (Beta), of Semitic origin. The small b was formed by gradual change from the capital B."
Babehood,n.,Babyhood.
Babyism,n.,The state of being a baby.
Bacchanal,n.,Drunken revelry; an orgy.
Bachelor,n.,"A kind of bass, an edible fresh-water fish (Pomoxys annularis) of the southern United States."
Back,v. i.,"To drive or force backward; to cause to retreat or recede; as, to back oxen."
Backbone,n.,The column of bones in the back which sustains and gives firmness to the frame; the spine; the vertebral or spinal column.
Backlash,n.,"The distance through which one part of connected machinery, as a wheel, piston, or screw, can be moved without moving the connected parts, resulting from looseness in fitting or from wear; also, the jarring or reflex motion caused in badly fitting machinery by irregularities in velocity or a reverse of motion."
Backstitch,n.,"A stitch made by setting the needle back of the end of the last stitch, and bringing it out in front of the end."
Backworm,n.,A disease of hawks. See Filanders.
Badge,v. t.,To mark or distinguish with a badge.
Baffle,v. i.,To practice deceit.
Baggager,n.,One who takes care of baggage; a camp follower.
Bail,v./t.,"To set free, or deliver from arrest, or out of custody, on the undertaking of some other person or persons that he or they will be responsible for the appearance, at a certain day and place, of the person bailed."
Bailment,n.,The action of bailing a person accused.
Bakemeat,n.,Alt. of Baked-meat
Balance,n.,"To settle and adjust, as an account; to make two accounts equal by paying the difference between them."
Bald,a.,Undisguised.
Bale,n.,"Evil; an evil, pernicious influence; something causing great injury."
Balkish,a.,Uneven; ridgy.
Ballasted,imp. & p. p.,of Ballast
Ballooning,n.,The art or practice of managing balloons or voyaging in them.
Balneation,n.,The act of bathing.
